"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset","dropout","epochs","learning_rate","log_every_n_batches","model_name","momentum","num_workers","optimizer","seed","test_subset","train_subset","weight_decay","batch/accuracy","batch/learning_rate","batch/loss","batch_step","best_eval_accuracy","checkpoint_path","elapsed_seconds","epoch","eval/accuracy","eval/best_accuracy","eval/f1_macro","eval/final_accuracy","eval/final_f1_macro","eval/final_loss","eval/loss","eval/precision_macro","eval/recall_macro","final_eval_accuracy","final_eval_f1_macro","train/accuracy","train/loss"
"mlp_small-adam-lr1e-03-bs256-drop0.00","finished","-","","","2026-06-12T07:40:41.000Z","21","2lrds5ux","256","MNIST","0","3","0.001","50","mlp_small","0.9","0","adam","2026","2000","12000","0.0001","0.91015625","0.001","0.2814154028892517","95","0.9269999861717224","ckpts\cht9t942_mlp_small.pt","9.213093519210815","3","0.9269999861717224","0.9269999861717224","0.9264883995056152","0.9269999861717224","0.9264883995056152","0.23859039640426635","0.23859039640426635","0.927801251411438","0.9264070391654968","0.9269999861717224","0.9264883995056152","0.9359166666666666","0.22800729839007056"
"mlp_small-adam-lr3e-03-bs256-drop0.00","finished","-","","","2026-06-12T07:40:19.000Z","20","2lrds5ux","256","MNIST","0","3","0.003","50","mlp_small","0.9","0","adam","2026","2000","12000","0.0001","0.96484375","0.003","0.14086806774139404","95","0.9424999952316284","ckpts\xjyu285q_mlp_small.pt","9.615347385406494","3","0.9424999952316284","0.9424999952316284","0.9424818754196168","0.9424999952316284","0.9424818754196168","0.17727513003349304","0.17727513003349304","0.9442604184150696","0.9421319961547852","0.9424999952316284","0.9424818754196168","0.9585","0.14168268990516664"
"mlp_small-adam-lr3e-03-bs256-drop0.00","finished","-","","","2026-06-12T07:39:55.000Z","22","2lrds5ux","256","MNIST","0","3","0.003","50","mlp_small","0.9","0","adam","42","2000","12000","0.00001","0.9453125","0.003","0.14337366819381714","95","0.9455000162124634","ckpts\8kb3md0t_mlp_small.pt","10.12612533569336","3","0.9455000162124634","0.9455000162124634","0.945865511894226","0.9455000162124634","0.945865511894226","0.17020538783073424","0.17020538783073424","0.9472916722297668","0.9457410573959352","0.9455000162124634","0.945865511894226","0.9576666666666668","0.13567264350255331"
"mlp_small-adam-lr1e-02-bs256-drop0.00","finished","-","","","2026-06-12T07:39:26.000Z","25","2lrds5ux","256","MNIST","0","3","0.01","50","mlp_small","0.9","0","adam","2026","2000","12000","0.00001","0.96875","0.01","0.09242666512727736","95","0.94650000333786","ckpts\p7f8y1wn_mlp_small.pt","9.489488124847412","3","0.94650000333786","0.94650000333786","0.9464646577835084","0.94650000333786","0.9464646577835084","0.1789881250858307","0.1789881250858307","0.947158694267273","0.946748435497284","0.94650000333786","0.9464646577835084","0.9634166666666668","0.12088173035780587"
"mlp_deep-adam-lr1e-02-bs256-drop0.15","finished","-","","","2026-06-12T07:38:59.000Z","22","2lrds5ux","256","MNIST","0.15","3","0.01","50","mlp_deep","0.9","0","adam","123","2000","12000","0.0001","0.9140625","0.01","0.23882991075515747","95","0.944000005722046","ckpts\gx40o2mb_mlp_deep.pt","11.389291286468506","3","0.944000005722046","0.944000005722046","0.9420667886734008","0.944000005722046","0.9420667886734008","0.18997180330753327","0.18997180330753327","0.944787621498108","0.941480815410614","0.944000005722046","0.9420667886734008","0.9426666666666668","0.1944616662065188"
"mlp_small-adam-lr1e-02-bs128-drop0.00","finished","-","","","2026-06-12T07:38:32.000Z","23","2lrds5ux","128","MNIST","0","3","0.01","50","mlp_small","0.9","0","adam","2026","2000","12000","0.00001","0.9765625","0.01","0.17892472445964813","239","0.9399999976158142","ckpts\1xz71nur_mlp_small.pt","12.68218731880188","3","0.9399999976158142","0.9399999976158142","0.93984717130661","0.9399999976158142","0.93984717130661","0.21292513966560364","0.21292513966560364","0.9410897493362428","0.939745306968689","0.9399999976158142","0.93984717130661","0.9555833333333332","0.14257817645867665"
"mlp_small-adam-lr3e-03-bs256-drop0.15","finished","-","","","2026-06-12T07:38:10.000Z","21","2lrds5ux","256","MNIST","0.15","3","0.003","50","mlp_small","0.9","0","adam","2026","2000","12000","0.0001","0.9375","0.003","0.1856037080287933","95","0.9455000162124634","ckpts\3mmcsr79_mlp_small.pt","9.923377513885498","3","0.9455000162124634","0.9455000162124634","0.945421576499939","0.9455000162124634","0.945421576499939","0.17433575105667115","0.17433575105667115","0.9459863901138306","0.9454244375228882","0.9455000162124634","0.945421576499939","0.9518333333333332","0.16228663527965545"
"mlp_deep-adam-lr1e-03-bs256-drop0.15","finished","-","","","2026-06-12T07:37:48.000Z","20","2lrds5ux","256","MNIST","0.15","3","0.001","50","mlp_deep","0.9","0","adam","123","2000","12000","0.0001","0.93359375","0.001","0.244429349899292","95","0.9449999928474426","ckpts\b3u6lla7_mlp_deep.pt","9.562327146530151","3","0.9449999928474426","0.9449999928474426","0.9435173273086548","0.9449999928474426","0.9435173273086548","0.1919055907726288","0.1919055907726288","0.9440129995346068","0.9443586468696594","0.9449999928474426","0.9435173273086548","0.9403333333333334","0.19573855990171432"
"tiny_cnn-sgd-lr1e-04-bs128-drop0.25","finished","-","","","2026-06-12T07:37:19.000Z","26","2lrds5ux","128","MNIST","0.25","3","0.0001","50","tiny_cnn","0","0","sgd","123","2000","12000","0.00001","0.0703125","0.0001","2.2990047931671143","239","0.10300000011920928","ckpts\17ho28ur_tiny_cnn.pt","11.669418811798096","3","0.10300000011920928","0.10300000011920928","0.08583398163318634","0.10300000011920928","0.08583398163318634","2.2882989521026613","2.2882989521026613","0.17852209508419037","0.10464085638523102","0.10300000011920928","0.08583398163318634","0.1065","2.297561381657918"
"mlp_small-adam-lr1e-03-bs256-drop0.00","finished","-","","","2026-06-12T07:36:52.000Z","21","2lrds5ux","256","MNIST","0","3","0.001","50","mlp_small","0","0","adam","123","2000","12000","0.00001","0.93359375","0.001","0.2260266989469528","95","0.9365000128746032","ckpts\qsvy3aqo_mlp_small.pt","11.13235855102539","3","0.9365000128746032","0.9365000128746032","0.9350379705429076","0.9365000128746032","0.9350379705429076","0.22918146443367005","0.22918146443367005","0.935644507408142","0.934800922870636","0.9365000128746032","0.9350379705429076","0.9374166666666668","0.22045449392000835"
"batchnorm_cnn-sgd-lr1e-02-bs128-drop0.15","finished","-","","","2026-06-12T07:29:51.000Z","43","","128","MNIST","0.15","10","0.01","50","batchnorm_cnn","0.9","0","sgd","105","2000","12000","0.0001","0.921875","0.01","0.4892389178276062","897","0.92849999666214","ckpts\dh4638hy_batchnorm_cnn.pt","36.400887966156006","10","0.92849999666214","0.92849999666214","0.928098201751709","0.92849999666214","0.928098201751709","0.3786138920783997","0.3786138920783997","0.9297724962234496","0.928693950176239","0.92849999666214","0.928098201751709","0.8835","0.4874475781917572"
"dropout_cnn-adam-lr1e-03-bs128-drop0.35","finished","-","","","2026-06-12T07:29:08.000Z","42","","128","MNIST","0.35","10","0.001","50","dropout_cnn","0.9","0","adam","104","2000","12000","0.00001","0.984375","0.001","0.10203810781240465","897","0.9894999861717224","ckpts\f9q8cc5h_dropout_cnn.pt","35.137988805770874","10","0.987500011920929","0.9894999861717224","0.9873877763748168","0.987500011920929","0.9873877763748168","0.03237761408090591","0.03237761408090591","0.98747456073761","0.9873936772346495","0.987500011920929","0.9873877763748168","0.9878333333333332","0.03484086023022731"
"tiny_cnn-adam-lr1e-03-bs128-drop0.00","finished","-","","","2026-06-12T07:28:28.000Z","39","","128","MNIST","0","10","0.001","50","tiny_cnn","0.9","0","adam","103","2000","12000","0","1","0.001","0.013825170695781708","897","0.9810000061988832","ckpts\0oummgc5_tiny_cnn.pt","32.74012351036072","10","0.9804999828338624","0.9810000061988832","0.9806407690048218","0.9804999828338624","0.9806407690048218","0.05473579445481301","0.05473579445481301","0.9806831479072572","0.9808417558670044","0.9804999828338624","0.9806407690048218","0.9913333333333332","0.033502394209305446"
"mlp_deep-adamw-lr3e-04-bs128-drop0.25","finished","-","","","2026-06-12T07:27:50.000Z","37","","128","MNIST","0.25","10","0.0003","50","mlp_deep","0.9","0","adamw","102","2000","12000","0.0001","0.984375","0.0003","0.0626632422208786","897","0.962000012397766","ckpts\dybtxjzl_mlp_deep.pt","29.544519662857056","10","0.962000012397766","0.962000012397766","0.9615594148635864","0.962000012397766","0.9615594148635864","0.12785569882392883","0.12785569882392883","0.9615877866744996","0.9619523882865906","0.962000012397766","0.9615594148635864","0.9759166666666668","0.07778023999929429"
"mlp_small-adam-lr1e-03-bs128-drop0.00","finished","-","","","2026-06-12T07:26:18.000Z","91","","128","MNIST","0","10","0.001","50","mlp_small","0.9","0","adam","101","2000","12000","0","1","0.001","0.010224251076579094","897","0.9610000252723694","ckpts\yusa9qmz_mlp_small.pt","29.66292095184326","10","0.9605000019073486","0.9610000252723694","0.9604549407958984","0.9605000019073486","0.9604549407958984","0.12311483454704283","0.12311483454704283","0.960384488105774","0.9607285261154176","0.9605000019073486","0.9604549407958984","0.9954166666666666","0.023695765147606532"
"mlp_small-adam-lr1e-03-bs128-drop0.00","finished","-","","","2026-06-12T07:20:22.000Z","355","","128","MNIST","0","10","0.001","50","mlp_small","0.9","0","adam","101","2000","12000","0","","","","","","","","","","","","","","","","","","","","",""
